Year,Fielding,Pitching
1985,"459,513","462,030"
1986,"409,187","391,221"
1987,"395,296","416,934"
1988,"418,353","434,296"
1989,"414,880","482,678"
1990,"510,073","485,947"
1991,"729,348","893,026"
1992,"863,854","1,081,095"
1993,"818,053","943,157"
1994,"859,466","958,085"
1995,"866,347","833,636"
1996,"960,244","817,770"
1997,"1,138,731","1,014,898"
1998,"1,080,729","1,118,212"
1999,"1,191,822","1,386,647"
2000,"1,545,218","1,802,145"
2001,"1,902,014","2,046,170"
2002,"1,889,677","2,138,134"
2003,"1,945,646","2,133,800"
2004,"2,077,279","2,122,075"
2005,"2,134,634","2,383,278"
2006,"2,502,204","2,534,757"
2007,"2,551,325","2,617,533"
2008,"2,994,868","2,777,429"
2009,"3,067,199","2,970,731"
2010,"2,970,251","3,187,588"
2011,"3,146,370","2,885,962"
2012,"3,161,314","3,315,726"
2013,"3,285,679","3,393,114"
2014,"3,488,014","3,670,900"
2015,"3,938,112","3,955,581"
2016,"3,969,950","3,962,127"
